stadium_name,week_number,average_temperature
Lincoln Financial Field,46,9.63
Lincoln Financial Field,47,9.17
Lincoln Financial Field,48,5.26
Lincoln Financial Field,49,1.66
Lincoln Financial Field,50,3.93
Lincoln Financial Field,51,3.5
Lincoln Financial Field,52,2.17
Lucas Oil Stadium,1,1.63
Lucas Oil Stadium,2,-1.39
Lucas Oil Stadium,3,-10.0
Lucas Oil Stadium,4,3.71
Lucas Oil Stadium,5,2.36
Lucas Oil Stadium,6,5.97
Lucas Oil Stadium,7,-0.06
Lucas Oil Stadium,8,4.2
Lucas Oil Stadium,9,7.29
Lucas Oil Stadium,10,10.26
Lucas Oil Stadium,11,10.11
Lucas Oil Stadium,12,3.19
Lucas Oil Stadium,13,10.5
Lucas Oil Stadium,14,8.43
Lucas Oil Stadium,15,14.64
Lucas Oil Stadium,16,14.4
Lucas Oil Stadium,17,13.76
Lucas Oil Stadium,18,19.87
Lucas Oil Stadium,19,17.73
Lucas Oil Stadium,20,19.27
Lucas Oil Stadium,21,22.09
Lucas Oil Stadium,22,18.43
Lucas Oil Stadium,23,21.46
Lucas Oil Stadium,24,22.03
Lucas Oil Stadium,25,27.47
Lucas Oil Stadium,26,23.99
Lucas Oil Stadium,27,23.03
Lucas Oil Stadium,28,24.56
Lucas Oil Stadium,29,23.49
Lucas Oil Stadium,30,23.11
Lucas Oil Stadium,31,24.9
Lucas Oil Stadium,32,22.91
Lucas Oil Stadium,33,22.77
Lucas Oil Stadium,34,20.47
Lucas Oil Stadium,35,25.97
Lucas Oil Stadium,36,19.1
Lucas Oil Stadium,37,21.84
Lucas Oil Stadium,38,23.33
Lucas Oil Stadium,39,19.83
Lucas Oil Stadium,40,18.54
Lucas Oil Stadium,41,16.01
Lucas Oil Stadium,42,10.31
Lucas Oil Stadium,43,13.71
Lucas Oil Stadium,44,14.79
Lucas Oil Stadium,45,14.54
Lucas Oil Stadium,46,9.46
Lucas Oil Stadium,47,7.87
Lucas Oil Stadium,48,1.34
Lucas Oil Stadium,49,-1.71
Lucas Oil Stadium,50,1.61
Lucas Oil Stadium,51,2.31
Lucas Oil Stadium,52,7.29
